"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev"
71,2242,68,1,21.2000007629395,17.2999992370605,12,1,556,251,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"251556",0.220862981145397,0.0154678897209398,0.225135342899842
71,2243,68,1,9,11.8000001907349,12,1,556,23,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"23556",0.772404380243831,0.0154678897209398,0.225135342899842
71,2244,68,1,17,15.5,12,1,556,23,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"23556",0.194093153281642,0.0154678897209398,0.225135342899842
72,2246,69,1,28.2000007629395,20,12,1,1054,823,3,26.5,3.59,22.91,27.3146670432889,15,2.025,12.975,1318,1210,"12101318",2005,47,1,3,FALSE,"8231054",0.961012156415017,0.138408645727488,0.140028759651771
72,2247,69,1,23.2000007629395,17.3999996185303,12,1,1054,823,3,26.5,3.59,22.91,27.3146670432889,15,2.025,12.975,1318,1210,"12101318",2005,47,1,3,FALSE,"8231054",1.98901583539291,0.138408645727488,0.140028759651771
72,2248,69,1,18.2000007629395,16.1000003814697,12,1,1054,823,3,26.5,3.59,22.91,27.3146670432889,15,2.025,12.975,1318,1210,"12101318",2005,47,1,3,FALSE,"8231054",0.00301546382374979,0.138408645727488,0.140028759651771
76,2267,74,1,14.6000003814697,14.6000003814697,12,1,784,1095,3,31.5,4.51,26.99,33.482304762451,23.5,3.695,19.805,1069,1935,"19351069",2005,48,2,4,TRUE,"1095784",-0.11929099771067,0.167360365965793,0.233123749981722
76,2268,74,1,15.5,16.1000003814697,12,1,784,1095,3,31.5,4.51,26.99,33.482304762451,23.5,3.695,19.805,1069,1935,"19351069",2005,48,2,4,TRUE,"1095784",-2.69698529911575,0.167360365965793,0.233123749981722
76,2269,74,1,21,17.5,12,1,784,505,3,31.5,4.51,26.99,33.482304762451,23.5,3.695,19.805,1069,1935,"19351069",2005,48,2,4,TRUE,"505784",-0.442832073298858,0.167360365965793,0.233123749981722
78,2272,75,1,25.5,19.1000003814697,12,1,963,505,1,6,1.06,4.94,6.81044291468584,0,-0.91,0.91,1047,1226,"12261047",2005,48,1,4,FALSE,"505963",0.347626861013501,0.17802311603374,-1.03673688495002
81,2312,83,1,26.7000007629395,18.5,12,1,1827,1353,1,17.5,2.28,15.22,18.2984166280414,8.5,1.385,7.115,927,1717,"1717927",2005,49,1,5,FALSE,"13531827",2.93870607635039,0.135168576415252,0.171355159866779
