"BroodRef","BirdID","NatalBroodID","RingedYN","LastStage","DeathDate","CrossFosteredYN","LastLiveRecord","HatchDate","MixedBroodYN","WeightedAge5","AgeCaptureAge5","RingingDate","RingingAge","DaysBetweenWeightedAge5andRinging","AvgBroodRingingAge","DurationSurvivalCheck","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat6","MeanBroodSizeAgeCat10","NbChickd5"
53,2162,52,1,3,NA,1,"2005-05-26 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,3,10.6666666666667,0.699999999999999,9.96666666666667,13.1397103917695,4,0.226666666666667,3.77333333333333,353,725,"725353",2005,43,4,4,TRUE,0.0425007536688635,0.0514979948469414,-0.0916671885258237,0.0202027073175195,0.109584724766207,0.0671456386116523,9.18727898682361,15.1159260942425,3,3,3
53,2163,52,1,2,"2005-05-27",1,"2005-05-26 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,3,10.6666666666667,0.699999999999999,9.96666666666667,13.1397103917695,4,0.226666666666667,3.77333333333333,353,725,"725353",2005,43,4,4,TRUE,0.0425007536688635,0.0514979948469414,-0.0916671885258237,0.0202027073175195,0.109584724766207,0.0671456386116523,9.18727898682361,15.1159260942425,3,3,3
53,2164,52,1,3,NA,1,"2005-05-26 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,3,10.6666666666667,0.699999999999999,9.96666666666667,13.1397103917695,4,0.226666666666667,3.77333333333333,353,725,"725353",2005,43,4,4,TRUE,0.0425007536688635,0.0514979948469414,-0.0916671885258237,0.0202027073175195,0.109584724766207,0.0671456386116523,9.18727898682361,15.1159260942425,3,3,3
53,2159,51,0,2,"2005-05-17",1,"2005-05-16 00:00:00","2005-05-15",1,FALSE,NA,NA,NA,NA,6,6,3,10.6666666666667,0.699999999999999,9.96666666666667,13.1397103917695,4,0.226666666666667,3.77333333333333,353,725,"725353",2005,43,4,4,TRUE,0.0425007536688635,0.0514979948469414,-0.0916671885258237,0.0202027073175195,0.109584724766207,0.0671456386116523,9.18727898682361,15.1159260942425,3,3,3
54,2180,56,0,2,"2005-05-22",1,"2005-05-21 00:00:00","2005-05-16",1,TRUE,5,NA,NA,NA,NA,6.30443045155435,0,20,3.24,16.76,16.339869824241,5,-0.94,5.94,985,409,"409985",2005,44,5,5,FALSE,0.172033200489081,-0.157780447877837,0.172033200489081,-0.157780447877837,NA,NA,16.339869824241,NA,4,NA,3
54,2193,58,0,2,"2005-05-18",1,"2005-05-17 00:00:00","2005-05-16",1,FALSE,NA,NA,NA,NA,NA,6.30443045155435,0,20,3.24,16.76,16.339869824241,5,-0.94,5.94,985,409,"409985",2005,44,5,5,FALSE,0.172033200489081,-0.157780447877837,0.172033200489081,-0.157780447877837,NA,NA,16.339869824241,NA,4,NA,3
54,2195,59,0,2,"2005-05-22",1,"2005-05-21 00:00:00","2005-05-16",1,TRUE,5,NA,NA,NA,NA,6.30443045155435,0,20,3.24,16.76,16.339869824241,5,-0.94,5.94,985,409,"409985",2005,44,5,5,FALSE,0.172033200489081,-0.157780447877837,0.172033200489081,-0.157780447877837,NA,NA,16.339869824241,NA,4,NA,3
54,2196,59,0,2,"2005-05-18",1,"2005-05-17 00:00:00","2005-05-16",1,FALSE,NA,NA,NA,NA,NA,6.30443045155435,0,20,3.24,16.76,16.339869824241,5,-0.94,5.94,985,409,"409985",2005,44,5,5,FALSE,0.172033200489081,-0.157780447877837,0.172033200489081,-0.157780447877837,NA,NA,16.339869824241,NA,4,NA,3
54,2197,59,0,2,"2005-05-22",1,"2005-05-21 00:00:00","2005-05-16",1,TRUE,5,NA,NA,NA,NA,6.30443045155435,0,20,3.24,16.76,16.339869824241,5,-0.94,5.94,985,409,"409985",2005,44,5,5,FALSE,0.172033200489081,-0.157780447877837,0.172033200489081,-0.157780447877837,NA,NA,16.339869824241,NA,4,NA,3
55,2186,57,0,2,"2005-05-22",1,"2005-05-21 00:00:00","2005-05-16",1,TRUE,5,NA,NA,NA,6,6,3,20,3.68,16.32,20.7967771810664,11,3.275,7.725,76,287,"28776",2005,44,3,5,TRUE,0.202044655382727,0.337303336322101,0.257045102989891,0.349184272209575,0.147044207775563,0.325422400434628,18.8764051416429,22.71714922049,4,3,4
