"DVDRef","Sex","Tstart","Interval"
157,1,12.4,9
157,0,13.6,3.6
157,0,20.9,7.3
157,1,21,8.6
157,0,22.5,1.6
157,1,22.8,1.8
157,0,23.5,1
157,0,25.8,2.3
157,1,28.8,6
157,0,30.6,4.8
157,0,43.2,12.6
157,1,44.1,15.3
157,0,44.3,1.09999999999999
157,0,45.3,1
157,1,46.3,2.2
157,0,48,2.7
157,1,48.3,2
157,0,49.4,1.4
157,1,53.3,5
157,0,54.1,4.7
157,0,56.9,2.8
157,1,58.9,5.6
157,0,62.1,5.2
157,1,67.1,8.2
157,0,68.9,6.8
157,0,70.6,1.69999999999999
157,1,73.9,6.80000000000001
157,0,75.5,4.90000000000001
157,1,81.6,7.69999999999999
157,1,88.2,6.60000000000001
157,0,88.5,13
172,1,8.5,0
172,0,11,0
172,0,21.1,10.1
172,1,25.3,16.8
172,1,32.5,7.2
172,1,40.4,7.9
172,0,42.6,21.5
172,1,51.7,11.3
172,0,58.8,16.2
172,1,61.8,10.1
172,0,66.5,7.7
172,1,70.5,8.7
172,0,75.5,9
172,1,81.7,11.2
172,0,83.2,7.7
172,1,84.5,2.8
172,0,89.5,6.3
172,1,91.3,6.8
173,0,2.3,0
173,1,4.9,0
173,1,11.3,6.4
173,0,13.5,11.2
173,0,16.8,3.3
173,1,19,7.7
173,1,23.4,4.4
173,0,23.7,6.9
173,0,33.2,9.5
173,0,40.7,7.5
173,0,46.8,6.09999999999999
173,1,48.1,24.7
173,1,54.8,6.7
173,0,57.7,10.9
173,0,64.2,6.5
173,1,65.2,10.4
173,0,66.6,2.39999999999999
173,1,67.8,2.59999999999999
173,0,69.2,2.60000000000001
173,0,70.4,1.2
173,0,74.5,4.09999999999999
173,0,75.3,0.799999999999997
173,1,75.9,8.10000000000001
173,0,77.3,2
173,0,78.5,1.2
173,1,84.4,8.5
173,1,91.2,6.8
173,1,92.1,0.899999999999991
173,1,93.3,1.2
175,0,1.2,0
175,1,1.5,0
175,1,10.7,9.2
175,1,16.3,5.6
175,0,19.9,18.7
175,1,24.2,7.9
175,0,26.2,6.3
175,1,32.4,8.2
175,0,35.5,9.3
175,1,37.8,5.4
175,0,42.7,7.2
175,1,43,5.2
175,0,48.8,6.09999999999999
175,0,49.6,0.800000000000004
175,0,59.3,9.7
175,0,63.4,4.1
175,0,64,0.600000000000001
175,1,66.2,23.2
175,1,67.2,1
175,1,68.4,1.2
175,0,71.3,7.3
175,0,73.6,2.3
175,1,76,7.59999999999999
175,1,77.3,1.3
175,1,78.5,1.2
175,1,79.3,0.799999999999997
175,0,81.4,7.80000000000001
175,1,83.6,4.3
175,0,84.9,3.5
175,1,85.2,1.60000000000001
175,0,90.1,5.19999999999999
175,1,90.4,5.2
183,1,5,0
183,0,6.5,0
183,1,17,12
183,0,19.2,12.7
183,1,27,10
183,1,36.1,9.1
183,0,39,19.8
183,0,47.4,8.4
183,0,50.7,3.3
183,0,52.4,1.7
183,1,52.8,16.7
183,0,56.2,3.8
183,0,66.4,10.2
183,1,67.2,14.4
183,0,80.5,14.1
183,1,84.5,17.3
183,1,87.1,2.59999999999999
183,1,90.5,3.40000000000001
186,1,1.9,0
186,0,2.3,0
186,0,3.3,1
186,1,18,16.1
186,0,20.3,17
186,1,26.5,8.5
186,0,36.2,15.9
186,0,40.8,4.59999999999999
186,1,47.5,21
186,0,53,12.2
186,1,56.4,8.9
186,0,62.3,9.3
186,1,67.7,11.3
186,1,73.6,5.89999999999999
186,0,74.3,12
186,0,91.7,17.4
188,1,3.6,0
188,0,4.8,0
188,0,8.2,3.4
188,1,9.7,6.1
188,0,10.7,2.5
188,1,12.2,2.5
188,0,13.2,2.5
188,1,14,1.8
188,0,15.5,2.3
188,1,15.9,1.9
188,0,18.1,2.6
188,0,19.1,1
188,0,20.1,1
188,0,21.2,1.1
188,1,21.9,6
188,0,22.7,1.5
188,1,24,2.1
188,0,25.8,3.1
188,0,37.2,11.4
188,1,37.6,13.6
188,0,39.2,2
188,1,40,2.4
188,1,42.9,2.9
188,0,50,10.8
188,1,51,8.1
188,1,58.2,7.2
188,0,58.6,8.6
188,0,60,1.4
188,0,61,1
188,0,62.9,1.9
188,1,64.7,6.5
188,0,65.1,2.2
188,0,71.3,6.2
188,1,71.6,6.89999999999999
188,0,76.6,5.3
188,1,79.7,8.10000000000001
188,0,81.1,4.5
188,0,85.6,4.5
188,1,90,10.3
191,1,5.7,0
191,1,6.4,0.7
191,0,11.8,0
191,0,15.6,3.8
191,1,20.1,13.7
191,0,20.4,4.8
191,1,22.6,2.5
191,1,23.3,0.699999999999999
191,0,24.6,4.2
191,0,26.3,1.7
191,0,29,2.7
191,1,31.5,8.2
191,0,34.3,5.3
191,0,37.7,3.40000000000001
191,1,40.4,8.9
191,0,40.9,3.2
191,1,41.3,0.899999999999999
191,0,45.4,4.5
191,0,47.3,1.9
191,1,52,10.7
191,0,54.5,7.2
191,1,54.6,2.6
191,0,57.5,3
191,1,63.7,9.1
191,1,65.8,2.09999999999999
191,0,72.3,14.8
191,1,72.5,6.7
