sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
76	122	2004\40122.xlsx	24	12	2	0	2.6	23	35.1	2.8	2.6	Shinichi	3.3	16	87.99999695	55.5	32.5	4.7	8	16	8	23.93	15.68	8.25	45.7
77	123	2004\40123.xlsx	9	32	2	1	0.1	3.2	29.2	0.3	0.1	Shinichi	0.1	18	92.40000305	32.3	60.1	0.4	21	6	15	18.96	2.08	16.88	45
78	126	2004\40126.xlsx	18	32	3	0	0.5	6.9	26.4	6.2	5.5	Shinichi	2	27	91.89999695	32.8	59.1	10.2	21	12	9	17.24	4.5	12.74	55.1
79	127	2004\40127.xlsx	11	24	7	0	0.2	2.7	18.4	1	0	Shinichi	0.9	22	87.20000305	20.9	66.3	0.3	17	8	9	12.66	1.86	10.8	64.7
80	129	2004\40129.xlsx	11	9	0	0	0.2	35.4	38.1	0.8	0.1	Shinichi	0.5	17	91.79999695	73.3	18.5	0.6	6	7	1	24.9	23.14	1.76	89.5
81	130	2004\40130.xlsx	31	33	0	0	1	4.5	29.5	0.1	1.6	Shinichi	1.1	43	91.39999695	33	58.4	1.6	22	20	2	19.37	2.95	16.42	68.3
82	131	2004\40131.xlsx	18	6	0	0	4.2	20.5	66.9	3.4	0.6	Shinichi	7.6	10	92.80000153	83.2	9.6	0.6	4	12	8	43.25	13.25	30	43.5
83	133	2004\40133.xlsx	2	14	2	0	0	0.5	23	0	0	Shinichi	0	3	91.19999847	23.5	67.7	0	9	1	8	15.13	0.33	14.8	20
84	137	2004\40137.xlsx	18	8	0	0	2.9	30.3	55.2	2.8	0	Shinichi	4.7	16	91.39999695	82.6	8.8	1	5	12	7	36.24	19.89	16.35	64
85	141	2004\40141.xlsx	13	11	0	0	0.2	20.4	44.7	0.8	0.1	Shinichi	0.3	17	92.60000305	64.9	27.7	0.8	7	8	1	28.96	13.22	15.74	73.9
86	146	2004\40146.xlsx	11	13	5	0	0.1	18.1	40.1	5	0.3	Shinichi	0.9	16	91.29999695	58.1	33.2	4.5	9	7	2	26.35	11.89	14.46	69.6
87	148	2004\40148.xlsx	23	15	0	0	2	10.4	42.6	1.6	0.1	Shinichi	2.7	17	91.40000153	51	40.4	1	10	15	5	27.96	6.83	21.13	45.9
88	152	2004\40152.xlsx	15	15	0	0	0.5	15.5	48.7	0.1	0.1	Shinichi	0.5	21	91.40000305	63.7	27.7	0.2	10	10	0	31.97	10.18	21.79	72.4
89	157	2004\40157.xlsx	14	21	0	0	0.7	22.2	51.7	3.4	0.1	Shinichi	3.3	26	90.6	73.2	17.4	0.9	14	9	5	34.24	14.7	19.54	76.5
90	161	2004\40161.xlsx	13	12	0	0	1.3	14.3	43	1.3	0.6	Shinichi	2.2	20	89.00000305	56	33	1	8	9	1	28.99	9.64	19.35	83.3
91	162	2004\40162.xlsx	7	8	0	0	0	31.6	31.6	0.9	0.4	Shinichi	0.9	13	86.99999847	63.2	23.8	0.4	6	5	1	21.79	21.79	0	92.9
92	166	2004\40166.xlsx	11	17	1	0	0.1	39.7	13.4	1	4.2	Shinichi	1.5	18	91.49999695	53	38.5	3.8	11	7	4	8.79	26.03	17.24	66.7
93	170	2004\40170.xlsx	11	10	0	1	2.4	38.8	39.3	1.5	1.5	Shinichi	4.7	15	92.50000305	75.7	16.8	0.7	6	7	1	25.49	25.17	0.32	75
