Filename,TstartFeedVisit,TendFeedVisit,Sex,Interval,DVDRef
2004\40039D.xlsx,66,66.6,0,12.3,39
2004\40039D.xlsx,67.9,68.1,1,4.7,39
2004\40039D.xlsx,68,86.2,0,2,39
2004\40039D.xlsx,86.9,92,1,19,39
2004\40039D.xlsx,92.1,93.7,0,24.1,39
2004\40044.xlsx,1.1,6.8,0,0,44
2004\40044.xlsx,7.1,8.3,1,0,44
2004\40044.xlsx,8.2,9.2,0,7.1,44
2004\40044.xlsx,10.6,19.5,0,2.4,44
2004\40044.xlsx,19.7,20.8,1,12.6,44
2004\40044.xlsx,20.8,20.9,0,10.2,44
2004\40044.xlsx,22.3,24,0,1.5,44
2004\40044.xlsx,24.1,24.8,1,4.4,44
2004\40044.xlsx,25,30.6,1,0.9,44
2004\40044.xlsx,30.5,35.6,0,8.2,44
2004\40044.xlsx,36,37.9,0,5.5,44
2004\40044.xlsx,38,41.1,1,13,44
2004\40044.xlsx,41.7,54,0,5.7,44
2004\40044.xlsx,56.6,57.6,0,14.9,44
2004\40044.xlsx,58.1,60.6,1,20.1,44
2004\40044.xlsx,60.8,65.1,0,4.2,44
2004\40044.xlsx,65.5,70.3,0,4.7,44
2004\40044.xlsx,70.5,71.9,1,12.4,44
2004\40044.xlsx,74.6,75.6,1,4.1,44
2004\40044.xlsx,75.6,84.9,0,10.1,44
2004\40044.xlsx,88.8,92.4,0,13.2,44
2004\40044.xlsx,92.6,93.7,0,3.8,44
2004\40045.xlsx,3,6.6,1,0,45
2004\40045.xlsx,6.5,9.1,0,0,45
2004\40045.xlsx,11.5,15.2,1,8.5,45
2004\40045.xlsx,15.6,18.8,1,4.1,45
2004\40045.xlsx,22,23.7,1,6.4,45
2004\40045.xlsx,23.6,34,0,17.1,45
2004\40045.xlsx,34.4,35.4,1,12.4,45
2004\40045.xlsx,36.5,37.4,0,12.9,45
2004\40045.xlsx,38.4,45.1,0,1.9,45
2004\40045.xlsx,45.5,50.1,0,7.1,45
2004\40045.xlsx,50.2,53.3,1,15.8,45
2004\40045.xlsx,53.5,57.1,0,8,45
2004\40045.xlsx,57.1,57.3,1,6.9,45
2004\40045.xlsx,59,61.4,0,5.5,45
2004\40045.xlsx,61.5,64.9,1,4.4,45
2004\40045.xlsx,67.7,67.9,0,8.7,45
2004\40045.xlsx,68.6,69.5,0,0.9,45
2004\40045.xlsx,69.6,69.8,1,8.1,45
2004\40045.xlsx,69.7,71.1,0,1.1,45
2004\40045.xlsx,71.2,81.8,0,1.5,45
2004\40045.xlsx,82.2,84.8,0,11,45
2004\40045.xlsx,87.1,87.7,1,17.5,45
2004\40045.xlsx,88.9,90.9,1,1.8,45
2004\40045.xlsx,91,93,0,8.8,45
2004\40045.xlsx,92.7,93.7,1,3.8,45
2004\40048.xlsx,0.3,3.3,0,0,48
2004\40048.xlsx,3.1,6.9,1,0,48
2004\40048.xlsx,7,17.7,0,6.7,48
2004\40048.xlsx,17.8,21.2,1,14.7,48
2004\40048.xlsx,23.3,28.9,0,16.3,48
2004\40048.xlsx,28.9,42.5,1,11.1,48
2004\40048.xlsx,46,56.6,0,22.7,48
2004\40048.xlsx,47.5,47.6,1,18.6,48
2004\40048.xlsx,56.7,62.2,1,9.2,48
2004\40048.xlsx,62.2,68.4,0,16.2,48
2004\40048.xlsx,68.5,72.6,1,11.8,48
2004\40048.xlsx,73.9,74.3,1,5.4,48
2004\40048.xlsx,76.6,80.7,0,14.4,48
2004\40048.xlsx,80.8,85,1,6.9,48
2004\40048.xlsx,85,88.6,0,8.4,48
2004\40050.xlsx,2.5,11.8,0,0,50
2004\40050.xlsx,12,12.7,1,0,50
2004\40050.xlsx,15.1,15.4,1,3.1,50
2004\40050.xlsx,15.4,15.5,0,12.9,50
2004\40050.xlsx,16.6,23.6,0,1.2,50
2004\40050.xlsx,23.6,27.7,1,8.5,50
2004\40050.xlsx,30.2,31.6,1,6.6,50
2004\40050.xlsx,31.7,37.1,0,15.1,50
2004\40050.xlsx,37.3,40.5,0,5.6,50
2004\40050.xlsx,41.3,42.7,0,4,50
2004\40050.xlsx,42.8,45,0,1.5,50
2004\40050.xlsx,46.3,49.4,1,16.1,50
2004\40050.xlsx,46.3,46.8,0,3.5,50
2004\40050.xlsx,49.5,54.5,0,3.2,50
2004\40050.xlsx,56.7,57.6,0,7.2,50
2004\40050.xlsx,57.6,60,1,11.3,50
2004\40050.xlsx,61.4,63.1,0,4.7,50
2004\40050.xlsx,63.2,63.5,1,5.6,50
2004\40050.xlsx,66.3,66.7,1,3.1,50
2004\40050.xlsx,67,71.6,0,5.6,50
2004\40050.xlsx,71.6,71.9,1,5.3,50
2004\40050.xlsx,72.6,74.3,0,5.6,50
2004\40050.xlsx,74.4,77.1,1,2.8,50
2004\40050.xlsx,77.1,77.3,0,4.5,50
2004\40050.xlsx,84.3,85.3,0,7.2,50
2004\40050.xlsx,85.4,90,1,11,50
2004\40050.xlsx,89.9,92.9,0,5.6,50
2004\40054.xlsx,4.1,5.7,0,0,54
2004\40054.xlsx,5.9,6.4,1,0,54
2004\40054.xlsx,7.7,18.9,0,3.6,54
2004\40054.xlsx,10.3,11.7,1,4.4,54
2004\40054.xlsx,19,19.3,1,8.7,54
2004\40054.xlsx,19.5,21,0,11.8,54
2004\40054.xlsx,21.1,27.3,1,2.1,54
2004\40054.xlsx,27.3,32.5,0,7.8,54
2004\40054.xlsx,32.6,37.3,1,11.5,54
2004\40054.xlsx,37.4,39.5,0,10.1,54
2004\40054.xlsx,40.5,46,1,7.9,54
2004\40054.xlsx,54.3,73.8,0,16.9,54
2004\40054.xlsx,59.5,59.8,1,19,54
2004\40054.xlsx,73.9,75.2,1,14.4,54
2004\40054.xlsx,76.1,79.5,1,2.2,54
2004\40054.xlsx,80.2,88.5,0,25.9,54
2004\40054.xlsx,88.5,91.6,1,12.4,54
2004\40054.xlsx,91.8,93.8,0,11.6,54
2004\40058.xlsx,1.5,1.7,1,0,58
2004\40058.xlsx,5.6,9.8,0,0,58
2004\40058.xlsx,9.9,15.3,1,8.4,58
2004\40058.xlsx,16.6,24.6,0,11,58
2004\40058.xlsx,25.2,25.7,1,15.3,58
2004\40058.xlsx,25.6,28.6,0,9,58
2004\40058.xlsx,28.6,34.5,1,3.4,58
2004\40058.xlsx,34.6,37.3,0,9,58
2004\40058.xlsx,37.3,37.7,1,8.7,58
2004\40058.xlsx,39.7,40.6,1,2.4,58
2004\40058.xlsx,40.7,45.5,0,6.1,58
2004\40058.xlsx,45.6,46.5,1,5.9,58
2004\40058.xlsx,46.3,49.8,0,5.6,58
2004\40058.xlsx,50,50.2,1,4.4,58
2004\40058.xlsx,50.3,53.1,0,4,58
2004\40058.xlsx,53.5,54.5,0,3.2,58
2004\40058.xlsx,54.5,55.6,1,4.5,58
2004\40058.xlsx,55.5,58.8,0,2,58
2004\40058.xlsx,58.8,60.1,1,4.3,58
2004\40058.xlsx,60.2,60.7,0,4.7,58
2004\40058.xlsx,64,64.8,1,5.2,58
2004\40058.xlsx,64.7,68.3,0,4.5,58
2004\40058.xlsx,68.3,69.3,1,4.3,58
2004\40058.xlsx,72.6,75.8,0,7.9,58
2004\40058.xlsx,75.9,76.7,1,7.6,58
2004\40058.xlsx,78.1,82,0,5.5,58
2004\40058.xlsx,82,82.9,1,6.1,58
2004\40058.xlsx,83.5,84.5,1,1.5,58
2004\40058.xlsx,84.6,86.8,0,6.5,58
2004\40059.xlsx,2,16.4,0,0,59
2004\40059.xlsx,4.7,5.1,1,0,59
2004\40059.xlsx,5.3,6,1,0.6,59
2004\40059.xlsx,16.9,27.2,0,14.9,59
2004\40059.xlsx,27.2,33.6,1,21.9,59
2004\40059.xlsx,33.6,53.7,0,16.7,59
2004\40059.xlsx,53.7,61.8,1,26.5,59
2004\40059.xlsx,61.8,68.4,0,28.2,59
2004\40059.xlsx,68.7,76.4,0,6.9,59
2004\40059.xlsx,76.8,78.9,0,8.1,59
2004\40059.xlsx,80.8,81.4,1,27.1,59
2004\40059.xlsx,81.5,81.9,0,4.7,59
2004\40059.xlsx,82,86.8,1,1.2,59
2004\40059.xlsx,86.8,91.1,0,5.3,59
2004\40059.xlsx,91.2,92.7,1,9.2,59
2004\40059.xlsx,92.8,93.7,0,6,59
2004\40063.xlsx,6,6.5,1,0,63
2004\40063.xlsx,12.5,24,0,0,63
2004\40063.xlsx,24.1,38,1,18.1,63
2004\40063.xlsx,39.5,43.3,0,27,63
2004\40063.xlsx,43.3,50.5,1,19.2,63
2004\40063.xlsx,50.5,61.2,0,11,63
2004\40063.xlsx,61.1,63.8,1,17.8,63
2004\40063.xlsx,63.8,68,0,13.3,63
2004\40063.xlsx,68,74.8,1,6.9,63
2004\40063.xlsx,74.8,78.9,0,11,63
2004\40063.xlsx,78.9,84,1,10.9,63
2004\40063.xlsx,83.9,93.7,0,9.1,63
2004\40066.xlsx,3,16.7,0,0,66
2004\40066.xlsx,10.7,11.3,1,0,66
2004\40066.xlsx,16.8,22.2,1,6.1,66
2004\40066.xlsx,22.2,35.7,0,19.2,66
2004\40066.xlsx,29.5,30.3,1,12.7,66
2004\40066.xlsx,30.7,31.9,1,1.2,66
2004\40066.xlsx,35.8,43,1,5.1,66
2004\40066.xlsx,43,69.5,0,20.8,66
2004\40066.xlsx,53,53.9,1,17.2,66
2004\40066.xlsx,61,63.1,1,8,66
2004\40066.xlsx,69.5,76.6,1,8.5,66
2004\40066.xlsx,75.4,90,0,32.4,66
2004\40066.xlsx,82.7,84.4,1,13.2,66
2004\40066.xlsx,90,93.8,1,7.3,66
2004\40069.xlsx,1.5,15,0,0,69
2004\40069.xlsx,15.4,15.5,1,0,69
2004\40069.xlsx,20.7,23.3,0,19.2,69
