"DVDRef","Filename","MVisit1","FVisit1","MVisit2","FVisit2","ShareTime1","MTime1","FTime1","MTime2","FTime2","Protocol","ShareTime12","NbAlternation","NbSynchro_ChickFeedingEquanim","NbSynchro_LessConspicuous","NbSynchroFemaleStart","MmeanDuration","FmeanDuration","EffectiveTime","MFTime1","MFTime02","MFTime2","FVisit1RateH","MVisit1RateH","DiffVisit1Rate","MFVisit1RateH","FTime1RateH","MTime1RateH","DiffTime1Rate","AlternationValue","SynchronyFeedValue","SynchronyMvtValue","PropSynchroFemaleStart"
291,"2004\40291.xlsx",4,8,6,0,0.6,9.7,73.9,5.29999999999999,3.9,"Shinichi",3.2,6,0,2,0,2.425,9.2375,92.0000030517578,83,9,6.6,5,3,2,7.82608669692042,48.2,6.33,41.87,54.5,0,18.2,NA
292,"2004\40292.xlsx",6,7,2,0,0.3,52.4,38.9,1.60000000000001,0.799999999999999,"Shinichi",1.9,12,0,11,0,8.73333333333333,5.55714285714286,93.4000015258789,91,2.4,0.8,4,4,0,8.35117759375925,24.99,33.66,8.67,100,0,91.7,NA
293,"2004\40293.xlsx",16,12,1,0,0.3,2.1,12.7,2,0,"Shinichi",1.3,18,5,14,5,0.13125,1.05833333333334,90.0999969482422,14.5,75.6,1,8,11,3,18.6459495771689,8.46,1.4,7.06,66.7,18.5,51.9,100
295,"2004\40295.xlsx",9,6,0,0,0.2,42,20.2,1.5,0.799999999999979,"Shinichi",1.2,10,1,9,1,4.66666666666667,3.36666666666667,90.5999969482422,62,28.6,1.3,4,6,2,9.93377516904499,13.38,27.81,14.43,71.4,7.1,64.3,100
296,"2004\40296.xlsx",15,6,2,1,1,17.4,32,4.40000000000001,1.19999999999999,"Shinichi",3.1,9,3,10,2,1.16,5.33333333333333,86.1999969482422,48.4,37.8,3.5,4,10,6,14.6171698910448,22.27,12.11,10.16,45,15,50,66.7
297,"2004\40297.xlsx",13,12,0,0,1.6,11.2,44.4,0.899999999999995,0,"Shinichi",2,14,1,12,0,0.861538461538462,3.7,92.2999969482422,54,38.3,0.5,8,8,0,16.2513548168494,28.86,7.28,21.58,58.3,4.2,50,0
298,"2004\40298.xlsx",7,4,0,0,0.2,24.9,38.8,2.8,0.199999999999999,"Shinichi",1.8,7,0,6,0,3.55714285714286,9.7,85.6000030517578,63.5,22.1,1.4,3,5,2,7.71028009894968,27.2,17.45,9.75,70,0,60,NA
300,"2004\40300.xlsx",5,5,2,1,0,34.1,52.6,1.4,1.60000000000001,"Shinichi",1.7,8,0,7,0,6.82,10.52,91.8999969482422,86.7,5.2,1.3,3,3,0,6.52883590777395,34.34,22.26,12.08,88.9,0,77.8,NA
302,"2004\40302.xlsx",7,5,0,0,1.2,31.3,53,1.79999999999999,1.3,"Shinichi",3.3,10,1,8,0,4.47142857142857,10.6,91.8000030517578,83.1,8.7,1,3,5,2,7.84313699416825,34.64,20.46,14.18,90.9,9.1,72.7,0
303,"2004\40303.xlsx",13,11,0,0,1.8,16.5,51.6,0.800000000000007,0,"Shinichi",2.2,18,1,14,0,1.26923076923077,4.69090909090909,92.4999969482422,66.3,26.2,0.4,7,8,1,15.5675680811724,33.47,10.7,22.77,78.3,4.3,60.9,0
