"Filename","Tstart","Tend","State","Sex","Protocol","DVDRef"
"2004\40014.xlsx",33.6,34.1,"A","1","Shinichi",14
"2004\40014.xlsx",34.1,51.5,"IN","1","Shinichi",14
"2004\40014.xlsx",54,54.1,"A","0","Shinichi",14
"2004\40014.xlsx",54.1,63.5,"IN","0","Shinichi",14
"2004\40014.xlsx",63.5,63.5,"A","1","Shinichi",14
"2004\40014.xlsx",68.5,72.7,"IN","0","Shinichi",14
"2004\40014.xlsx",72.7,72.8,"A","1","Shinichi",14
"2004\40014.xlsx",72.8,75.4,"IN","1","Shinichi",14
"2004\40014.xlsx",18.5,23.2,"IN","0","Shinichi",14
"2004\40014.xlsx",75.5,80.3,"IN","0","Shinichi",14
"2004\40014.xlsx",74.8,74.9,"A","0","Shinichi",14
"2004\40014.xlsx",75.1,75.5,"A","0","Shinichi",14
"2004\40014.xlsx",75.4,75.5,"A","1","Shinichi",14
"2004\40014.xlsx",80.1,80.5,"A","1","Shinichi",14
"2004\40014.xlsx",80.5,86.8,"IN","1","Shinichi",14
"2004\40014.xlsx",86.8,93.6,"IN","0","Shinichi",14
"2004\40019.xlsx",19.5,20.6,"A","0","Shinichi",19
"2004\40019.xlsx",4.5,4.7,"A","1","Shinichi",19
"2004\40019.xlsx",6.3,7.1,"A","1","Shinichi",19
"2004\40019.xlsx",9.5,10.6,"A","1","Shinichi",19
"2004\40019.xlsx",13.2,15.8,"A","1","Shinichi",19
"2004\40019.xlsx",17.2,17.5,"A","0","Shinichi",19
"2004\40019.xlsx",73.4,74.1,"A","1","Shinichi",19
"2004\40019.xlsx",28.7,30.7,"A","1","Shinichi",19
"2004\40019.xlsx",31.5,31.5,"A","1","Shinichi",19
"2004\40019.xlsx",36,36.2,"A","1","Shinichi",19
"2004\40019.xlsx",37.1,38.1,"A","1","Shinichi",19
"2004\40019.xlsx",43.4,47.6,"A","1","Shinichi",19
"2004\40019.xlsx",48.2,49.7,"A","0","Shinichi",19
"2004\40019.xlsx",48.2,49.7,"A","1","Shinichi",19
"2004\40019.xlsx",54.8,58.6,"A","1","Shinichi",19
"2004\40019.xlsx",59.9,61.6,"A","1","Shinichi",19
"2004\40019.xlsx",63.6,63.8,"A","1","Shinichi",19
"2004\40019.xlsx",65,68.9,"A","1","Shinichi",19
"2004\40019.xlsx",69.1,71.3,"OF","1","Shinichi",19
"2004\40019.xlsx",76.3,78.1,"A","1","Shinichi",19
"2004\40019.xlsx",74.1,75.3,"IN","1","Shinichi",19
"2004\40019.xlsx",75.3,75.6,"A","1","Shinichi",19
"2004\40019.xlsx",75.6,76.3,"IN","1","Shinichi",19
"2004\40019.xlsx",84.6,85.6,"A","1","Shinichi",19
"2004\40019.xlsx",78.6,79.5,"OF","1","Shinichi",19
"2004\40019.xlsx",81.3,84.3,"A","1","Shinichi",19
"2004\40019.xlsx",84.5,85.6,"A","0","Shinichi",19
"2004\40019.xlsx",86.7,89,"A","1","Shinichi",19
"2004\40019.xlsx",89.2,92.3,"A","1","Shinichi",19
"2004\40020.xlsx",11.4,11.6,"IN","1","Shinichi",20
"2004\40020.xlsx",3.4,3.6,"A","0","Shinichi",20
"2004\40020.xlsx",3.6,7.4,"IN","0","Shinichi",20
"2004\40020.xlsx",7.9,12.2,"IN","0","Shinichi",20
"2004\40020.xlsx",11,11.4,"A","1","Shinichi",20
"2004\40020.xlsx",11.6,12.1,"A","1","Shinichi",20
"2004\40020.xlsx",13.4,17.2,"IN","0","Shinichi",20
"2004\40020.xlsx",15.9,17,"A","1","Shinichi",20
"2004\40020.xlsx",17,22.5,"IN","1","Shinichi",20
"2004\40020.xlsx",23.2,25,"IN","1","Shinichi",20
"2004\40020.xlsx",29.5,35.9,"IN","1","Shinichi",20
"2004\40020.xlsx",35.7,35.9,"A","0","Shinichi",20
"2004\40020.xlsx",35.9,51.8,"IN","0","Shinichi",20
"2004\40020.xlsx",54.6,54.7,"A","1","Shinichi",20
"2004\40020.xlsx",54.7,57.3,"IN","1","Shinichi",20
"2004\40020.xlsx",57.3,61,"IN","0","Shinichi",20
"2004\40020.xlsx",60.5,61.1,"A","1","Shinichi",20
"2004\40020.xlsx",61.1,75.5,"IN","1","Shinichi",20
"2004\40020.xlsx",75.3,75.4,"A","0","Shinichi",20
"2004\40020.xlsx",75.4,78.1,"IN","0","Shinichi",20
"2004\40020.xlsx",75.5,75.7,"A","1","Shinichi",20
"2004\40020.xlsx",79.5,85.5,"IN","0","Shinichi",20
"2004\40020.xlsx",85.4,85.8,"A","1","Shinichi",20
"2004\40020.xlsx",85.8,91.2,"IN","1","Shinichi",20
"2004\40020.xlsx",91.2,93.8,"IN","0","Shinichi",20
"2004\40024.xlsx",3.2,13.8,"IN","0","Shinichi",24
"2004\40024.xlsx",17.6,18,"A","1","Shinichi",24
"2004\40024.xlsx",18,21.5,"IN","1","Shinichi",24
"2004\40024.xlsx",23.7,27.7,"IN","0","Shinichi",24
"2004\40024.xlsx",27.3,27.8,"A","1","Shinichi",24
"2004\40024.xlsx",27.8,36.1,"IN","1","Shinichi",24
"2004\40024.xlsx",36,36.1,"A","0","Shinichi",24
"2004\40024.xlsx",36.1,36.2,"A","1","Shinichi",24
"2004\40024.xlsx",36.1,40.7,"IN","0","Shinichi",24
"2004\40024.xlsx",40.4,40.7,"A","1","Shinichi",24
"2004\40024.xlsx",40.7,42.1,"IN","1","Shinichi",24
"2004\40024.xlsx",41.7,42.2,"A","0","Shinichi",24
"2004\40024.xlsx",42.1,42.3,"A","1","Shinichi",24
"2004\40024.xlsx",42.2,50.1,"IN","0","Shinichi",24
"2004\40024.xlsx",50.3,50.4,"A","1","Shinichi",24
"2004\40024.xlsx",50.4,52.9,"IN","1","Shinichi",24
"2004\40024.xlsx",52.9,53,"A","0","Shinichi",24
"2004\40024.xlsx",52.9,53,"A","1","Shinichi",24
"2004\40024.xlsx",53,62.7,"IN","0","Shinichi",24
"2004\40024.xlsx",62.7,62.8,"A","0","Shinichi",24
"2004\40024.xlsx",65.3,65.5,"A","0","Shinichi",24
"2004\40024.xlsx",65.5,67,"IN","0","Shinichi",24
"2004\40024.xlsx",66.9,67.1,"A","1","Shinichi",24
"2004\40024.xlsx",67.1,72.5,"IN","1","Shinichi",24
"2004\40024.xlsx",72.5,72.9,"A","1","Shinichi",24
"2004\40024.xlsx",75.4,80.2,"IN","0","Shinichi",24
"2004\40024.xlsx",79.9,80,"A","1","Shinichi",24
"2004\40024.xlsx",80,80.2,"IN","1","Shinichi",24
"2004\40024.xlsx",80.2,80.3,"A","0","Shinichi",24
"2004\40024.xlsx",80.2,80.4,"A","1","Shinichi",24
"2004\40024.xlsx",80.8,80.9,"A","1","Shinichi",24
"2004\40024.xlsx",80.9,85.9,"IN","1","Shinichi",24
"2004\40024.xlsx",85.9,87,"A","0","Shinichi",24
"2004\40024.xlsx",85.9,87.2,"A","1","Shinichi",24
"2004\40024.xlsx",87,92.4,"IN","0","Shinichi",24
"2004\40025.xlsx",3.7,3.7,"A","1","Shinichi",25
"2004\40025.xlsx",6.1,11.8,"A","0","Shinichi",25
"2004\40025.xlsx",12.6,13.3,"A","0","Shinichi",25
"2004\40025.xlsx",14.4,14.5,"A","1","Shinichi",25
"2004\40025.xlsx",14.5,14.9,"IN","1","Shinichi",25
"2004\40025.xlsx",15.5,16.1,"IN","1","Shinichi",25
"2004\40025.xlsx",16.1,21.4,"A","1","Shinichi",25
"2004\40025.xlsx",21.4,26.5,"IN","1","Shinichi",25
"2004\40025.xlsx",26.5,28.9,"A","1","Shinichi",25
"2004\40025.xlsx",28.9,43.6,"IN","1","Shinichi",25
"2004\40025.xlsx",43.5,44.1,"A","0","Shinichi",25
"2004\40025.xlsx",46.8,48.1,"A","1","Shinichi",25
"2004\40025.xlsx",48.1,50.9,"IN","1","Shinichi",25
"2004\40025.xlsx",52.2,53.3,"A","1","Shinichi",25
"2004\40025.xlsx",53.3,68.6,"IN","1","Shinichi",25
"2004\40025.xlsx",68.8,75.7,"A","1","Shinichi",25
"2004\40025.xlsx",68.9,70.5,"A","0","Shinichi",25
"2004\40025.xlsx",71.2,73.3,"A","0","Shinichi",25
"2004\40025.xlsx",73.7,74,"A","0","Shinichi",25
"2004\40025.xlsx",74.3,74.7,"A","0","Shinichi",25
"2004\40025.xlsx",75.7,76,"IN","1","Shinichi",25
"2004\40025.xlsx",75.9,76.3,"IN","0","Shinichi",25
"2004\40025.xlsx",76,76.3,"A","1","Shinichi",25
"2004\40025.xlsx",76.4,78.1,"A","1","Shinichi",25
"2004\40025.xlsx",77.7,78,"A","0","Shinichi",25
"2004\40025.xlsx",84.1,84.5,"IN","0","Shinichi",25
"2004\40025.xlsx",78.1,78.1,"IN","1","Shinichi",25
"2004\40025.xlsx",78.1,78.5,"A","0","Shinichi",25
"2004\40025.xlsx",78.1,78.6,"A","1","Shinichi",25
"2004\40025.xlsx",78.5,78.6,"IN","0","Shinichi",25
"2004\40025.xlsx",78.8,82.5,"A","1","Shinichi",25
"2004\40025.xlsx",79,79.1,"A","0","Shinichi",25
"2004\40025.xlsx",79.1,79.5,"IN","0","Shinichi",25
"2004\40025.xlsx",79.5,79.8,"A","0","Shinichi",25
"2004\40025.xlsx",79.8,80.2,"IN","0","Shinichi",25
"2004\40025.xlsx",80.2,80.3,"A","0","Shinichi",25
"2004\40025.xlsx",82.5,84.1,"IN","1","Shinichi",25
"2004\40025.xlsx",84,84.1,"A","0","Shinichi",25
"2004\40025.xlsx",92.9,93.3,"A","1","Shinichi",25
"2004\40025.xlsx",84.1,85.1,"A","1","Shinichi",25
"2004\40025.xlsx",84.5,84.7,"A","0","Shinichi",25
