"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"116",36.4934112762485,36,4.38,31.62,2.5,10.5,53.5,1.655,8.845,87.8499984741211,18.5,18,4,2005,70,533,417,3,2,2.5,7,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"417533",4,"4175332005",5,4,20.3249998092651,15.3999996185303,17.5500001907349,3.88790879793562,1.11504872715976,TRUE,-1.36038607429427,1.44024518747484
"118",29.6093469600781,22.5,1.41,21.09,14,4.5,44.5,0.0449999999999999,4.455,90.1999984741211,8,22,3,2005,72,832,1464,1,2,1.5,2,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"1464832",2,"14648322005",5,3,27.5333334604899,26.5,19.9333337148031,1.23423359121302,0.305505171195914,TRUE,0.357052577540346,1.48416441389015
"120",20.5680604424483,21,4.78,16.22,3.5,3.5,31.5,0.905,2.595,91.9000030517578,9,11.5,2,2005,73,1514,1929,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"19291514",1,"192915142005",3,2,27.1999998092651,26,18.6499996185303,1.6970560051079,0.353553390593274,FALSE,2.98035621631727,2.52211741959352
"122",23.5915241879728,23.5,1.32,22.18,5,3.5,36,0.12,3.38,91.5499992370605,9.5,14.5,4,2005,73,1100,959,2,3,2.5,3,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,"9591100",2,"95911002005",4,3,28.2333335876465,26.7999992370605,19.0333334604899,1.76162865565571,0.650641286391729,FALSE,3.13053794960841,0.434950681154261
"125",29.629675640086,12.5,2.66,9.84,17,2.5,42.5,0.75,1.75,85.3,7.5,22.5,3,2005,73,985,409,3,2,2.5,6,FALSE,NA,NA,7,FALSE,FALSE,TRUE,"409985",6,"4099852005",3,3,24.3999996185303,23.7999992370605,18.2999998728434,0.871779832465826,0.199999809265907,FALSE,0.986710584846837,0.48069885147231
"128",20.3559549827428,20.5,1.75,18.75,2,4,29,1.255,2.745,85.4499969482422,11,9,2,2005,74,512,765,2,2,2,5,TRUE,FALSE,FALSE,4,TRUE,FALSE,FALSE,"765512",4,"7655122005",2,2,28.3500003814697,27.5,19,1.20208206749682,0.282843791434006,FALSE,3.32400076449539,0.54203041802056
"129",22.0514432416941,20,-0.509999999999998,20.51,3,3,33,-1.045,4.045,89.9000007629394,12.5,9.5,3,2005,75,2004,823,2,2,2,4,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"8232004",2,"82320042005",4,3,22.033332824707,17.7999992370605,18.4333330790202,3.68284336012964,0.650641286391726,FALSE,-1.6871388284695,2.43144371190576
"130",29.0302545601549,22,-1.33,23.33,10,5.5,44.5,-0.399999999999999,5.9,91.95,19.5,9.5,5,2005,75,892,4435,8,2,5,14,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"4435892",6,"44358922005",5,5,18.9600002288818,13.6000003814697,16.7999998092651,4.29453175986623,1.52479519328661,FALSE,-0.997480893314673,2.7193512904591
"132",18.0814554172618,17,0.48,16.52,2,4.5,26,2.595,1.905,86.1500007629394,10,8,2,2005,75,1739,46,4,1,2.5,10,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,"461739",2,"4617392005",2,2,27,26.2999992370605,19.6000003814697,0.989950572620554,0.141421895717003,FALSE,0.591676398164094,0.659924747882422
"133",26.0032632743026,21,0.719999999999999,20.28,9,5.5,39,1.7,3.8,89.95,15,11,4,2005,76,1364,504,2,1,1.5,5,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"5041364",1,"50413642005",4,4,23.375,22.7999992370605,18.6750001907349,0.623832813134994,0.464578621103481,TRUE,-0.902241707317414,1.00417796141925
