"ChickID","RearingBrood","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","GenPairID","ResMassTarsus_perChick"
1537,543,537,1,27.1000003814697,19.5,12,1,431,356,3,20,3.14,16.86,21.8154000556792,3,-0.265,3.265,427,22,"22427",2004,60,5,"356431",0.980526080463669
1539,543,537,1,26.5,17.7999992370605,12,1,431,356,3,20,3.14,16.86,21.8154000556792,3,-0.265,3.265,427,22,"22427",2004,60,5,"356431",4.34769182274087
1540,543,537,1,25.1000003814697,19,12,1,431,356,3,20,3.14,16.86,21.8154000556792,3,-0.265,3.265,427,22,"22427",2004,60,5,"356431",0.147339122619959
1541,542,538,1,22.1000003814697,17.1000003814697,12,1,704,504,3,27.5,0.120000000000001,27.38,30.308673215543,8,1.79,6.21,542,466,"466542",2004,60,1,"504704",1.58122779260622
1542,542,538,1,22,18.2999992370605,12,1,704,504,3,27.5,0.120000000000001,27.38,30.308673215543,8,1.79,6.21,542,466,"466542",2004,60,1,"504704",-1.31912121941542
1543,542,538,1,20.2000007629395,17,12,1,704,504,3,27.5,0.120000000000001,27.38,30.308673215543,8,1.79,6.21,542,466,"466542",2004,60,1,"504704",-0.0854083272850773
1544,535,539,1,24.3999996185303,18,12,1,892,4435,2,20,0.550000000000001,19.45,21.9829575432099,6,2.52,3.48,928,513,"513928",2004,59,2,"4435892",1.78096444399314
1546,535,539,1,22.2000007629395,18.3999996185303,12,1,892,4435,2,20,0.550000000000001,19.45,21.9829575432099,6,2.52,3.48,928,513,"513928",2004,59,2,"4435892",-1.35248395511505
1557,538,542,1,21.2000007629395,18.2999992370605,12,1,542,466,3,21,1.84,19.16,19.1407987500564,2,-0.68,2.68,704,504,"504704",2004,60,2,"466542",-2.11912045647592
1558,538,542,1,19.6000003814697,17.2999992370605,12,1,542,466,3,21,1.84,19.16,19.1407987500564,2,-0.68,2.68,704,504,"504704",2004,60,2,"466542",-1.38549475363313
1559,538,542,1,18,17.3999996185303,12,1,542,466,3,21,1.84,19.16,19.1407987500564,2,-0.68,2.68,704,504,"504704",2004,60,2,"466542",-3.21885863374196
1561,537,543,1,25.7999992370605,19,12,1,427,448,2,27.5,2.72,24.78,28.6887820498662,5,-0.345,5.345,431,356,"356431",2004,60,3,"448427",0.847337978210758
1563,537,543,1,24.3999996185303,17.5,12,1,427,22,2,27.5,2.72,24.78,28.6887820498662,5,-0.345,5.345,431,356,"356431",2004,60,3,"22427",2.94777748614943
1566,546,544,1,24.1000003814697,18.2999992370605,12,1,860,114,1,9,-0.26,9.26,17.4578396015811,2,0.635,1.365,832,1099,"1099832",2004,61,1,"114860",0.780879162054284
1567,545,544,1,24.6000003814697,18,12,1,860,114,2,18.5,3.1,15.4,15.29109521816,3.5,1.71,1.79,903,354,"354903",2004,61,2,"114860",1.98096520693254
1568,545,544,1,23.2999992370605,18.2000007629395,12,1,860,114,2,18.5,3.1,15.4,15.29109521816,3.5,1.71,1.79,903,354,"354903",2004,61,2,"114860",0.214237065245308
1569,544,545,1,24,19,12,1,903,354,3,29,3.66,25.34,24.3337187223567,2,-2.22,4.22,860,114,"114860",2004,61,1,"354903",-0.952661258849743
1570,544,545,1,22.3999996185303,18.7000007629395,12,1,903,354,3,29,3.66,25.34,24.3337187223567,2,-2.22,4.22,860,114,"114860",2004,61,1,"354903",-1.85257559544119
