ChickID	NatalBrood	RearingBrood	CrossFosteredYN	AvgOfMass	AvgOfTarsus	AvgOfAge	nMeasures
6791	1496	1500	1	9.10000038146973		5	1
6792	1500	1496	1	10.6000003814697		5	1
6793	1500	1500	0	8		5	1
6794	1500	1500	0	8.69999980926514		5	1
6795	1500	1500	0	9.39999961853027		5	1
6797	1521	1521	0	6.59999990463257		4	1
6798	1521	1521	0	6.69999980926514		4	1
6799	1521	1521	0	5.69999980926514		4	1
6800	1521	1521	0	5.5		4	1
6801	1521	1521	0	3.20000004768372		4	1
6804	1503	1501	1	9.10000038146973		5	1
6805	1503	1501	1	5.90000009536743		5	1
6806	1501	1503	1	9.39999961853027		5	1
6807	1501	1503	1	10.3999996185303		5	1
6808	1501	1501	0	8.80000019073486		5	1
6810	1501	1501	0	4.30000019073486		5	1
6812	1505	1505	0	9.30000019073486		5	1
6813	1505	1505	0	10.8000001907349		5	1
6814	1507	1507	0	10.8999996185303		5	1
6815	1511	1511	0	10.6999998092651		5	1
6816	1511	1511	0	10.8000001907349		5	1
6817	1511	1511	0	11.8000001907349		5	1
6824	1509	1509	0	6.80000019073486		5	1
6825	1509	1509	0	5.09999990463257		5	1
6828	1512	1510	1	6.40000009536743		5	1
6829	1512	1510	1	8		5	1
6830	1512	1515	1	10.6000003814697		5	1
6831	1510	1515	1	11		5	1
6832	1510	1515	1	10.3000001907349		5	1
6833	1515	1512	1	7.19999980926514		5	1
6835	1515	1512	1	5.59999990463257		5	1
6836	1515	1515	0	9		5	1
6841	1517	1513	1	10.8000001907349		5	1
6842	1517	1513	1	9.5		5	1
6843	1517	1513	1	8.10000038146973		5	1
6845	1513	1514	1	9.19999980926514		5	1
6846	1513	1514	1	6.30000019073486		5	1
6847	1513	1514	1	12.1999998092651		5	1
6848	1513	1514	1	8.19999980926514		5	1
6849	1513	1513	0	4		5	1
6850	1514	1517	1	8.60000038146973		5	1
6854	1511	1511	0	7.40000009536743		5	1
6855	1518	1519	1	7.59999990463257		5	1
6859	1519	1518	1	7.19999980926514		5	1
6860	1519	1518	1	6.5		5	1
6862	1525	1525	0	7.30000019073486		5	1
6863	1525	1525	0	9.10000038146973		5	1
6864	1525	1525	0	6.5		5	1
6865	1522	1523	1	10.8999996185303		5	1
6866	1522	1523	1	8.5		5	1
6867	1522	1523	1	8.19999980926514		5	1
6868	1522	1524	1	7.90000009536743		5	1
6869	1523	1522	1	12.1000003814697		5	1
6870	1523	1524	1	6.59999990463257		5	1
6871	1523	1524	1	13.6000003814697		5	1
6872	1524	1522	1	8.80000019073486		5	1
6875	1512	1512	0	2.79999995231628		5	1
6876	1515	1515	0	4.19999980926514		5	1
6877	1526	1527	1	8.89999961853027		5	1
6878	1526	1527	1	7.69999980926514		5	1
6882	1527	1540	1	11.3999996185303		5	1
6883	1540	1526	1	6.19999980926514		5	1
6884	1540	1526	1	10.8999996185303		5	1
6885	1540	1527	1	9.30000019073486		5	1
6886	1540	1527	1	9		5	1
6888	1545	1528	1	11.6000003814697		5	1
6889	1545	1528	1	4.69999980926514		5	1
6890	1545	1528	1	12.1000003814697		5	1
6892	1539	1545	1	12.6000003814697		5	1
6893	1539	1545	1	12.6000003814697		5	1
6894	1539	1545	1	8.60000038146973		5	1
6895	1539	1545	1	6		5	1
6896	1528	1539	1	10.1999998092651		5	1
6897	1528	1539	1	9.30000019073486		5	1
6898	1528	1539	1	9.80000019073486		5	1
6899	1528	1539	1	6.30000019073486		5	1
6900	1544	1544	0	9.60000038146973		5	1
6901	1544	1544	0	8		5	1
6902	1544	1544	0	10.1999998092651		5	1
6903	1544	1544	0	7.80000019073486		5	1
6904	1535	1546	1	8.5		5	1
6905	1535	1546	1	9.30000019073486		5	1
6906	1535	1546	1	8.80000019073486		5	1
6907	1546	1535	1	6.5		5	1
6910	1534	1530	1	12.3000001907349		5	1
6911	1534	1530	1	7.19999980926514		5	1
6912	1534	1530	1	14.3999996185303		5	1
6913	1530	1534	1	9.19999980926514		5	1
6914	1530	1534	1	9.60000038146973		5	1
6915	1530	1534	1	10.3999996185303		5	1
6916	1530	1530	0	10.1999998092651		5	1
6917	1529	1538	1	12.3000001907349		5	1
6918	1529	1538	1	8.60000038146973		5	1
6919	1529	1538	1	10.8000001907349		5	1
6920	1529	1529	0	9.19999980926514		5	1
6921	1538	1529	1	12.1999998092651		5	1
6922	1538	1529	1	12.1000003814697		5	1
6923	1538	1529	1	9.60000038146973		5	1
6924	1533	1533	0	13.3000001907349		5	1
6925	1533	1533	0	11.6000003814697		5	1
6926	1533	1533	0	12.8999996185303		5	1
6927	1533	1533	0	11.1999998092651		5	1
6928	1536	1531	1	14.3999996185303		5	1
6929	1536	1531	1	8.80000019073486		5	1
6930	1531	1537	1	10		5	1
6931	1531	1537	1	9.80000019073486		5	1
6932	1531	1536	1	11		5	1
6933	1531	1536	1	7.30000019073486		5	1
6934	1537	1531	1	13.8000001907349		5	1
6935	1537	1531	1	13.1000003814697		5	1
6937	1524	1522	1	10.6999998092651		5	1
6946	1547	1548	1	11.3000001907349		5	1
6947	1547	1548	1	11.6000003814697		5	1
6948	1547	1548	1	15.1000003814697		5	1
6949	1547	1548	1	13		5	1
6950	1547	1548	1	4.40000009536743		5	1
