BirdID	CaptureDate	Mass
373	26-May-02	2
374	09-Jun-02	25.1
374	30-May-02	8.5
378	31-May-02	7.2
383	10-Mar-04	27.7
383	03-Jun-02	5.9
383	13-Jun-02	27.9
383	29-Sep-02	27.8
383	16-Jun-04	28.1
383	11-Mar-04	28
384	03-Jun-02	3.2
385	13-Jun-02	22.7
385	03-Jun-02	3.6
388	07-Jun-02	9.4
392	07-Jun-02	3.8
393	12-Jul-05	25.5
393	11-Mar-04	25.2
393	06-Mar-04	25.2
393	20-Nov-05	25.7
393	17-Jun-02	21.2
393	07-Jun-02	5.5
393	29-Sep-02	28.2
393	08-Mar-04	25.4
394	07-Jun-02	2.4
397	13-Jun-02	7.9
397	23-Jun-02	24.9
398	13-Jun-02	6.9
398	23-Jun-02	22.9
399	13-Jun-02	6.1
399	23-Jun-02	22
400	13-Jun-02	3.4
401	13-Jun-02	8
401	23-Jun-02	24
402	23-Jun-02	26
402	13-Jun-02	7.6
403	23-Jun-02	25.1
403	13-Jun-02	6.6
404	23-Jun-02	27.7
404	13-Jun-02	7.6
406	15-Jun-02	5.9
406	25-Jun-02	27.4
407	25-Jun-02	26.6
407	15-Jun-02	6.8
408	15-Jun-02	5.8
409	15-Jun-02	5.6
409	24-Nov-04	25
409	25-Jun-02	25.3
409	04-Jun-04	27
411	15-Jun-02	6.9
411	25-Jun-02	26.5
412	25-Jun-02	25.7
412	15-Jun-02	6
413	25-Jun-02	25.1
413	15-Jun-02	5.6
414	15-Jun-02	2.4
416	15-Jun-02	5.6
416	17-Oct-03	24.25
416	25-Jun-04	29.4
416	18-Jun-03	29.25
416	29-Sep-02	31.1
416	15-Nov-05	29
416	23-Nov-04	29
417	16-Oct-03	29.25
417	26-Nov-04	31.6
417	02-Jun-04	31.1
417	31-Jul-06	30.3
417	15-Nov-05	31.8
417	07-Feb-07	29.4
417	15-Jun-02	9.6
417	28-Jul-03	30.25
417	14-Jul-04	30.6
417	29-Sep-02	31.6
418	15-Jun-02	8.9
418	11-Mar-04	28.5
418	19-Nov-05	30.9
418	06-Feb-07	28.2
418	31-Jul-06	30.4
418	20-Jun-04	30
418	07-Mar-04	28.7
418	23-May-05	30.6
419	14-Nov-05	32.6
419	30-Jun-03	29.25
419	16-Jul-05	30.2
419	10-Aug-04	30.3
419	17-Oct-03	29.5
419	25-May-05	30.5
419	15-Jun-02	8.3
421	15-Nov-05	29.2
421	12-Jun-03	28
421	26-Jul-04	26.8
421	27-Jun-02	26.7
421	17-Jun-02	6
422	17-Jun-02	6.4
422	10-Jun-03	28.75
422	27-Jun-02	25
423	17-Jun-02	6.9
423	27-Jun-02	26.1
424	17-Jun-02	6.7
424	27-Jun-02	27.5
425	27-Jun-02	23
425	17-Jun-02	6.2
426	17-Jun-02	6.4
426	27-Jun-02	23.6
427	29-Jun-05	26.4
427	22-May-05	27.8
